"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,left_m_h.Group26.btn_simple_square34.btn_simple_round_caption35,Calibri,16,1,Закр,К1,,
Caption,left_m_h.Group26.Text9,Calibri,18,1,К1,Status,,
Caption,left_m_h.Group26.digits_transp_s33.transp_s_digits_Name64,Calibri,16,1,Статус,,,
Caption,left_m_h.Group26.digits_transp_s33.transp_s_digits_text18,Calibri,16,1,,,,
Caption,left_m_h.Group26.digits_transp_s35.transp_s_digits_text65,Calibri,16,1,,Remote,,
Caption,left_m_h.Group26.digits_transp_s35.transp_s_digits_Name75,Calibri,16,1,Remote,Open,,
Caption,left_m_h.Group27.btn_simple_square35.btn_simple_round_caption36,Calibri,16,1,Откр,Close,,
Caption,left_m_h.Group27.btn_simple_square36.btn_simple_round_caption37,Calibri,16,1,Закр,К5,,
Caption,left_m_h.Group27.Text21,Calibri,18,1,К5,Status,,
Caption,left_m_h.Group27.digits_transp_s64.transp_s_digits_Name76,Calibri,16,1,Статус,,,
Caption,left_m_h.Group27.digits_transp_s64.transp_s_digits_text36,Calibri,16,1,,,,
Caption,left_m_h.Group27.digits_transp_s75.transp_s_digits_text76,Calibri,16,1,,Remote,,
Caption,left_m_h.Group27.digits_transp_s75.transp_s_digits_Name77,Calibri,16,1,Remote,Apply,,
Caption,left_m_h.Group31.btn_simple_square4.btn_simple_round_caption5,Calibri,16,1,Выполнить,Closed,,
Description,left_m_h.Group31.digits_transp_s18.transp_s_rect_blue18,,,,Closed,Opened,,
Description,left_m_h.Group31.digits_transp_s18.transp_s_rect_green18,,,,Opened,Malfunction,,
Description,left_m_h.Group31.digits_transp_s18.transp_s_rect_red18,,,,Malfunction,by current mode,,
Caption,left_m_h.Group31.digits_transp_s18.transp_s_digits_Name18,Calibri,16,1,Управление  по току,,,
Caption,left_m_h.Group31.digits_transp_s18.transp_s_digits_text28,Calibri,16,1,,,,
Caption,left_m_h.Group31.Group32.transp_s_digits_RegadaAQ1,Calibri,16,1,,К2,,
Caption,left_m_h.Group31.Text7,Calibri,18,1,К2,10%,,
Caption,left_m_h.Group31.btn_simple_square29.btn_simple_round_caption30,Calibri,16,1,10%,-10%,,
Caption,left_m_h.Group31.btn_simple_square30.btn_simple_round_caption31,Calibri,16,1,-10%,Open,,
Caption,left_m_h.Group31.btn_simple_square41.btn_simple_round_caption42,Calibri,16,1,Откр,Close,,
Caption,left_m_h.Group31.btn_simple_square42.btn_simple_round_caption43,Calibri,16,1,Закр,by impulse mode,,
Caption,left_m_h.Group31.digits_transp_s27.transp_s_digits_Name27,Calibri,16,1,Управление  импульсное,,,
Caption,left_m_h.Group31.digits_transp_s27.transp_s_digits_text29,Calibri,16,1,,,,
